Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
super-spine,CORE1,Ethernet1,172.16.30.61/31,l3leaf,DC1_BORDER_LEAF1,Ethernet4,172.16.30.60/31
super-spine,CORE1,Ethernet2,172.16.30.67/31,l3leaf,DC1_BORDER_LEAF2,Ethernet4,172.16.30.66/31
super-spine,CORE1,Ethernet3,172.16.30.73/31,l3leaf,DC1_BORDER_LEAF3,Ethernet4,172.16.30.72/31
super-spine,CORE1,Ethernet4,172.16.30.81/31,l3leaf,DC2_BORDER_LEAF1,Ethernet4,172.16.30.80/31
super-spine,CORE1,Ethernet5,172.16.30.87/31,l3leaf,DC2_BORDER_LEAF2,Ethernet4,172.16.30.86/31
super-spine,CORE1,Ethernet6,172.16.30.93/31,l3leaf,DC2_BORDER_LEAF3,Ethernet4,172.16.30.92/31
super-spine,CORE2,Ethernet1,172.16.30.63/31,l3leaf,DC1_BORDER_LEAF1,Ethernet5,172.16.30.62/31
super-spine,CORE2,Ethernet2,172.16.30.69/31,l3leaf,DC1_BORDER_LEAF2,Ethernet5,172.16.30.68/31
super-spine,CORE2,Ethernet3,172.16.30.75/31,l3leaf,DC1_BORDER_LEAF3,Ethernet5,172.16.30.74/31
super-spine,CORE2,Ethernet4,172.16.30.83/31,l3leaf,DC2_BORDER_LEAF1,Ethernet5,172.16.30.82/31
super-spine,CORE2,Ethernet5,172.16.30.89/31,l3leaf,DC2_BORDER_LEAF2,Ethernet5,172.16.30.88/31
super-spine,CORE2,Ethernet6,172.16.30.95/31,l3leaf,DC2_BORDER_LEAF3,Ethernet5,172.16.30.94/31
super-spine,CORE3,Ethernet1,172.16.30.65/31,l3leaf,DC1_BORDER_LEAF1,Ethernet6,172.16.30.64/31
super-spine,CORE3,Ethernet2,172.16.30.71/31,l3leaf,DC1_BORDER_LEAF2,Ethernet6,172.16.30.70/31
super-spine,CORE3,Ethernet3,172.16.30.77/31,l3leaf,DC1_BORDER_LEAF3,Ethernet6,172.16.30.76/31
super-spine,CORE3,Ethernet4,172.16.30.85/31,l3leaf,DC2_BORDER_LEAF1,Ethernet6,172.16.30.84/31
super-spine,CORE3,Ethernet5,172.16.30.91/31,l3leaf,DC2_BORDER_LEAF2,Ethernet6,172.16.30.90/31
super-spine,CORE3,Ethernet6,172.16.30.97/31,l3leaf,DC2_BORDER_LEAF3,Ethernet6,172.16.30.96/31
l3leaf,DC1_BORDER_LEAF1,Ethernet1,172.31.10.61/31,spine,DC1_SPINE1,Ethernet5,172.31.10.60/31
l3leaf,DC1_BORDER_LEAF1,Ethernet2,172.31.10.63/31,spine,DC1_SPINE2,Ethernet5,172.31.10.62/31
l3leaf,DC1_BORDER_LEAF1,Ethernet3,172.31.10.65/31,spine,DC1_SPINE3,Ethernet5,172.31.10.64/31
l3leaf,DC1_BORDER_LEAF2,Ethernet1,172.31.10.67/31,spine,DC1_SPINE1,Ethernet6,172.31.10.66/31
l3leaf,DC1_BORDER_LEAF2,Ethernet2,172.31.10.69/31,spine,DC1_SPINE2,Ethernet6,172.31.10.68/31
l3leaf,DC1_BORDER_LEAF2,Ethernet3,172.31.10.71/31,spine,DC1_SPINE3,Ethernet6,172.31.10.70/31
l3leaf,DC1_BORDER_LEAF3,Ethernet1,172.31.10.73/31,spine,DC1_SPINE1,Ethernet7,172.31.10.72/31
l3leaf,DC1_BORDER_LEAF3,Ethernet2,172.31.10.75/31,spine,DC1_SPINE2,Ethernet7,172.31.10.74/31
l3leaf,DC1_BORDER_LEAF3,Ethernet3,172.31.10.77/31,spine,DC1_SPINE3,Ethernet7,172.31.10.76/31
l3leaf,DC1_LEAF1,Ethernet1,172.31.10.79/31,spine,DC1_SPINE1,Ethernet1,172.31.10.78/31
l3leaf,DC1_LEAF1,Ethernet2,172.31.10.81/31,spine,DC1_SPINE2,Ethernet1,172.31.10.80/31
l3leaf,DC1_LEAF1,Ethernet3,172.31.10.83/31,spine,DC1_SPINE3,Ethernet1,172.31.10.82/31
l3leaf,DC1_LEAF2,Ethernet1,172.31.10.85/31,spine,DC1_SPINE1,Ethernet2,172.31.10.84/31
l3leaf,DC1_LEAF2,Ethernet2,172.31.10.87/31,spine,DC1_SPINE2,Ethernet2,172.31.10.86/31
l3leaf,DC1_LEAF2,Ethernet3,172.31.10.89/31,spine,DC1_SPINE3,Ethernet2,172.31.10.88/31
l3leaf,DC1_LEAF3,Ethernet1,172.31.10.91/31,spine,DC1_SPINE1,Ethernet3,172.31.10.90/31
l3leaf,DC1_LEAF3,Ethernet2,172.31.10.93/31,spine,DC1_SPINE2,Ethernet3,172.31.10.92/31
l3leaf,DC1_LEAF3,Ethernet3,172.31.10.95/31,spine,DC1_SPINE3,Ethernet3,172.31.10.94/31
l3leaf,DC1_LEAF4,Ethernet1,172.31.10.97/31,spine,DC1_SPINE1,Ethernet4,172.31.10.96/31
l3leaf,DC1_LEAF4,Ethernet2,172.31.10.99/31,spine,DC1_SPINE2,Ethernet4,172.31.10.98/31
l3leaf,DC1_LEAF4,Ethernet3,172.31.10.101/31,spine,DC1_SPINE3,Ethernet4,172.31.10.100/31
l3leaf,DC2_BORDER_LEAF1,Ethernet1,172.31.20.121/31,spine,DC2_SPINE1,Ethernet5,172.31.20.120/31
l3leaf,DC2_BORDER_LEAF1,Ethernet2,172.31.20.123/31,spine,DC2_SPINE2,Ethernet5,172.31.20.122/31
l3leaf,DC2_BORDER_LEAF1,Ethernet3,172.31.20.125/31,spine,DC2_SPINE3,Ethernet5,172.31.20.124/31
l3leaf,DC2_BORDER_LEAF2,Ethernet1,172.31.20.127/31,spine,DC2_SPINE1,Ethernet6,172.31.20.126/31
l3leaf,DC2_BORDER_LEAF2,Ethernet2,172.31.20.129/31,spine,DC2_SPINE2,Ethernet6,172.31.20.128/31
l3leaf,DC2_BORDER_LEAF2,Ethernet3,172.31.20.131/31,spine,DC2_SPINE3,Ethernet6,172.31.20.130/31
l3leaf,DC2_BORDER_LEAF3,Ethernet1,172.31.20.133/31,spine,DC2_SPINE1,Ethernet7,172.31.20.132/31
